BEGIN_YEARMONTH,BEGIN_DAY,STATE,MONTH_NAME,EVENT_TYPE,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,BEGIN_LAT,BEGIN_LON,DATA_SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,21,KANSAS,June,Tornado,6/21/1951 23:00,CST,6/21/1951 23:00,F2,0,33,,38.53,-99.32,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,22,KANSAS,June,Tornado,6/22/1951 2:00,CST,6/22/1951 2:00,,0,33,,37.83,-96.3,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,23,KANSAS,June,Tornado,6/23/1951 22:00,CST,6/23/1951 22:00,,0,33,,37.12,-101.62,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,23,KANSAS,June,Tornado,6/23/1951 22:00,CST,6/23/1951 22:00,F2,0,33,,37.18,-101.35,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,27,KANSAS,June,Tornado,6/27/1951 0:10,CST,6/27/1951 0:10,F4,0.8,300,,39.03,-99.88,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,27,KANSAS,June,Tornado,6/27/1951 1:00,CST,6/27/1951 1:00,F1,0,33,,38.87,-99.37,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195107,4,KANSAS,July,Tornado,7/4/1951 21:00,CST,7/4/1951 21:00,,0,33,,37.58,-99.6,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,31,KANSAS,May,Tornado,5/31/1951 23:45,CST,5/31/1951 23:45,F2,3,440,,39.37,-95.4,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,1,KANSAS,June,Tornado,6/1/1951 20:00,CST,6/1/1951 20:00,F1,11,33,,39.73,-97.98,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 16:30,CST,6/6/1951 16:30,F2,0,33,,37.58,-101.33,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 18:00,CST,6/6/1951 18:00,F1,3,400,,38.88,-99.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 19:30,CST,6/6/1951 19:30,,0,33,,37.78,-98.87,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 19:30,CST,6/6/1951 19:30,,9,33,,37.63,-98.9,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 19:30,CST,6/6/1951 19:30,,0,33,,37.52,-98.82,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 19:30,CST,6/6/1951 19:30,,0,33,,37.77,-98.57,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 19:30,CST,6/6/1951 19:30,F3,44.8,33,,37.58,-101.37,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 20:00,CST,6/6/1951 20:00,F1,0,33,,39.18,-99.03,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,6,KANSAS,June,Tornado,6/6/1951 22:00,CST,6/6/1951 22:00,F1,0,33,,37.68,-97.12,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,8,KANSAS,June,Tornado,6/8/1951 13:30,CST,6/8/1951 13:30,F1,0.8,600,,38.42,-95.62,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,8,KANSAS,June,Tornado,6/8/1951 17:00,CST,6/8/1951 17:00,F2,0,33,,38.88,-95.35,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,15,KANSAS,June,Tornado,6/15/1951 19:15,CST,6/15/1951 19:15,F0,0.5,100,,39.07,-95.82,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,17,KANSAS,June,Tornado,6/17/1951 15:00,CST,6/17/1951 15:00,,0,33,,38,-101.78,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,17,KANSAS,June,Tornado,6/17/1951 22:30,CST,6/17/1951 22:30,,0,33,,39.07,-100.3,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,17,KANSAS,June,Tornado,6/17/1951 23:00,CST,6/17/1951 23:00,,0,33,,38.62,-95.08,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,19,KANSAS,June,Tornado,6/19/1951 18:00,CST,6/19/1951 18:00,,0,33,,37.1,-99.1,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,20,KANSAS,June,Tornado,6/20/1951 22:00,CST,6/20/1951 22:00,F1,0,33,,39.28,-100.95,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,20,KANSAS,June,Tornado,6/20/1951 22:00,CST,6/20/1951 22:00,F2,48.6,33,,38.47,-101.37,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195106,21,KANSAS,June,Tornado,6/21/1951 1:00,CST,6/21/1951 1:00,,22.2,33,,39.37,-98.88,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195103,2,KANSAS,March,Tornado,3/2/1951 16:00,CST,3/2/1951 16:00,,38.1,33,,39.43,-98.55,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195103,2,KANSAS,March,Tornado,3/2/1951 20:30,CST,3/2/1951 20:30,,0,33,,39.83,-95.72,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,20,KANSAS,April,Tornado,4/20/1951 15:30,CST,4/20/1951 15:30,F0,0,33,,37.12,-101.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,26,KANSAS,April,Tornado,4/26/1951 18:10,CST,4/26/1951 18:10,F0,29.2,33,,37.47,-101.52,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,26,KANSAS,April,Tornado,4/26/1951 18:15,CST,4/26/1951 18:15,F1,0,33,,37.17,-101.62,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,26,KANSAS,April,Tornado,4/26/1951 19:15,CST,4/26/1951 19:15,F0,1,33,,37.07,-100.93,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,26,KANSAS,April,Tornado,4/26/1951 19:30,CST,4/26/1951 19:30,F1,0,33,,37.08,-101.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,30,KANSAS,April,Tornado,4/30/1951 5:30,CST,4/30/1951 5:30,F3,12.8,440,,37.63,-98.75,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195104,30,KANSAS,April,Tornado,4/30/1951 23:45,CST,4/30/1951 23:45,,0,33,,37.1,-96.5,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,2,KANSAS,May,Tornado,5/2/1951 19:30,CST,5/2/1951 19:30,F1,0,10,,39.03,-95.8,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,2,KANSAS,May,Tornado,5/2/1951 20:30,CST,5/2/1951 20:30,F1,0,33,,39.4,-95.4,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,9,KANSAS,May,Tornado,5/9/1951 7:00,CST,5/9/1951 7:00,F1,2.3,33,,39.3,-95.5,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,9,KANSAS,May,Tornado,5/9/1951 21:00,CST,5/9/1951 21:00,F0,0,33,,38.78,-95.55,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,13,KANSAS,May,Tornado,5/13/1951 22:00,CST,5/13/1951 22:00,F1,0,33,,39.08,-99.5,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,14,KANSAS,May,Tornado,5/14/1951 17:30,CST,5/14/1951 17:30,F2,0,33,,39.37,-101.37,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,14,KANSAS,May,Tornado,5/14/1951 18:30,CST,5/14/1951 18:30,F2,0,33,,37,-101.9,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,14,KANSAS,May,Tornado,5/14/1951 19:30,CST,5/14/1951 19:30,F3,0,33,,39.78,-101.33,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,20,KANSAS,May,Tornado,5/20/1951 19:00,CST,5/20/1951 19:00,F2,1,33,,37.97,-101.25,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,20,KANSAS,May,Tornado,5/20/1951 19:00,CST,5/20/1951 19:00,F3,12.8,900,,37.9,-101.2,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,20,KANSAS,May,Tornado,5/20/1951 19:00,CST,5/20/1951 19:00,F3,0,33,,39.78,-101.38,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,21,KANSAS,May,Tornado,5/21/1951 1:00,CST,5/21/1951 1:00,F2,0,33,,39.03,-96.97,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,21,KANSAS,May,Tornado,5/21/1951 19:00,CST,5/21/1951 19:00,F1,0,33,,37.53,-101.75,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,25,KANSAS,May,Tornado,5/25/1951 14:30,CST,5/25/1951 14:30,F1,0,33,,39.45,-97.5,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,25,KANSAS,May,Tornado,5/25/1951 16:00,CST,5/25/1951 16:00,F3,4.1,440,,39.27,-97.18,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,25,KANSAS,May,Tornado,5/25/1951 18:00,CST,5/25/1951 18:00,F2,0,33,,39.93,-97.43,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 20:00,CST,5/30/1951 20:00,F1,3,33,,38.83,-99.27,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,,0,33,,39.4,-97.18,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,,0,33,,39.25,-96.58,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,,0,33,,39.4,-96.03,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,,0,33,,39.47,-95.73,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,F0,0,33,,39.28,-97.02,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,F1,8.3,33,,39.13,-97.05,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195105,30,KANSAS,May,Tornado,5/30/1951 22:50,CST,5/30/1951 22:50,F1,7.7,33,,39.35,-96.45,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195107,22,KANSAS,July,Tornado,7/22/1951 0:50,CST,7/22/1951 0:50,,7.7,33,,39.48,-97.58,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,6,KANSAS,August,Tornado,8/6/1951 15:00,CST,8/6/1951 15:00,,0,33,,37.55,-99.63,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,7,KANSAS,August,Tornado,8/7/1951 17:00,CST,8/7/1951 17:00,F1,0,33,,37.05,-101.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,7,KANSAS,August,Tornado,8/7/1951 21:30,CST,8/7/1951 21:30,,0,33,,38.75,-99.83,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,10,KANSAS,August,Tornado,8/10/1951 18:30,CST,8/10/1951 18:30,,2.3,250,,39.87,-101.67,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,13,KANSAS,August,Tornado,8/13/1951 2:30,CST,8/13/1951 2:30,,0,33,,38.23,-97.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,13,KANSAS,August,Tornado,8/13/1951 2:30,CST,8/13/1951 2:30,,0,33,,38.23,-97.77,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,23,KANSAS,August,Tornado,8/23/1951 21:30,CST,8/23/1951 21:30,,0,33,,38.58,-99.57,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,24,KANSAS,August,Tornado,8/24/1951 7:30,CST,8/24/1951 7:30,,0,33,,38.67,-95.17,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,24,KANSAS,August,Tornado,8/24/1951 17:30,CST,8/24/1951 17:30,F2,3.3,100,,39.78,-100.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,31,KANSAS,August,Tornado,8/31/1951 16:20,CST,8/31/1951 16:20,,0,33,,38.67,-97.67,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195108,31,KANSAS,August,Tornado,8/31/1951 16:20,CST,8/31/1951 16:20,,0,33,,38.67,-96.95,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195109,23,KANSAS,September,Tornado,9/23/1951 21:30,CST,9/23/1951 21:30,,0.8,100,,38.62,-99.52,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195107,7,KANSAS,July,Tornado,7/7/1951 18:00,CST,7/7/1951 18:00,F2,0,33,,39.25,-99.57,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195205,22,KANSAS,May,Tornado,5/22/1952 17:45,CST,5/22/1952 17:45,F4,10.9,440,,39.03,-94.92,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195206,19,KANSAS,June,Tornado,6/19/1952 19:10,CST,6/19/1952 19:10,F2,3.3,60,,37.18,-97.42,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195206,21,KANSAS,June,Tornado,6/21/1952 19:00,CST,6/21/1952 19:00,F2,24.9,33,,39.13,-95.15,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195206,26,KANSAS,June,Tornado,6/26/1952 17:15,CST,6/26/1952 17:15,F2,12,33,,39.68,-99.45,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195206,27,KANSAS,June,Tornado,6/27/1952 14:30,CST,6/27/1952 14:30,F2,1.9,100,,39.75,-100.12,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195207,6,KANSAS,July,Tornado,7/6/1952 15:00,CST,7/6/1952 15:00,F1,11.9,33,,39.83,-100.2,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195207,6,KANSAS,July,Tornado,7/6/1952 16:30,CST,7/6/1952 16:30,,0,33,,39.73,-101.98,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195207,6,KANSAS,July,Tornado,7/6/1952 17:00,CST,7/6/1952 17:00,F2,0,33,,39.27,-101.85,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195208,7,KANSAS,August,Tornado,8/7/1952 18:00,CST,8/7/1952 18:00,F3,4.7,33,,39,-98.52,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195208,7,KANSAS,August,Tornado,8/7/1952 22:00,CST,8/7/1952 22:00,F1,0,33,,37.93,-99.42,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195208,14,KANSAS,August,Tornado,8/14/1952 21:30,CST,8/14/1952 21:30,F2,1.5,100,,38.68,-97.02,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195211,17,KANSAS,November,Tornado,11/17/1952 0:01,CST,11/17/1952 0:01,F1,0,33,,39.67,-95.87,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195204,8,KANSAS,April,Tornado,4/8/1952 13:30,CST,4/8/1952 13:30,F1,0,33,,37.87,-99.47,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195204,22,KANSAS,April,Tornado,4/22/1952 17:30,CST,4/22/1952 17:30,,0,33,,39.18,-96.75,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195204,29,KANSAS,April,Tornado,4/29/1952 13:30,CST,4/29/1952 13:30,F0,0,33,,37.08,-100.08,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195204,30,KANSAS,April,Tornado,4/30/1952 19:14,CST,4/30/1952 19:14,F0,0,33,,38.07,-98.67,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195204,30,KANSAS,April,Tornado,4/30/1952 20:50,CST,4/30/1952 20:50,F0,0,33,,37.75,-99.83,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195205,21,KANSAS,May,Tornado,5/21/1952 18:00,CST,5/21/1952 18:00,,0,33,,39.52,-99,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195205,21,KANSAS,May,Tornado,5/21/1952 19:30,CST,5/21/1952 19:30,F2,0.2,100,,39.68,-97.87,PUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
